,0
0,24.0
1,93.0
2,117.0
3,58.0
4,226.0
5,284.0
6,376.0
7,344.0
8,145.0
9,81.0
10,174.0
11,160.0
12,42.0
13,162.0
14,353.0
15,355.0
16,434.0
17,463.0
18,65.0
19,106.0
20,228.0
21,202.0
22,89.0
23,146.0
24,229.0
25,221.0
26,109.0
27,114.0
28,95.0
29,235.0
30,242.0
31,162.0
32,208.0
33,90.0
34,116.0
35,35.0
36,125.0
37,63.0
38,18.0
39,24.0
40,56.0
41,73.0
42,154.0
43,67.0
44,115.0
45,93.0
46,74.0
47,22.0
48,67.0
49,85.0
50,162.0
51,243.0
52,263.0
53,193.0
54,29.0
55,92.0
56,94.0
57,96.0
58,34.0
59,40.0
60,61.0
61,166.0
62,254.0
63,366.0
64,279.0
65,316.0
66,243.0
67,203.0
68,75.0
69,113.0
70,82.0
71,65.0
72,160.0
73,178.0
74,103.0
75,665.0
76,145.0
77,182.0
78,117.0
79,79.0
80,114.0
81,225.0
82,108.0
83,144.0
84,107.0
85,103.0
86,54.0
87,107.0
88,118.0
89,139.0
90,250.0
91,180.0
92,203.0
93,203.0
94,169.0
95,146.0
96,240.0
97,176.0
98,41.0
99,139.0
100,111.0
101,162.0
102,153.0
103,226.0
104,218.0
105,191.0
106,80.0
107,111.0
108,106.0
109,510.0
110,175.0
111,306.0
112,271.0
113,37.0
114,46.0
115,33.0
116,35.0
117,107.0
118,214.0
119,213.0
120,166.0
121,54.0
122,51.0
123,137.0
124,185.0
125,171.0
126,72.0
127,58.0
128,83.0
129,192.0
130,176.0
131,148.0
132,109.0
133,141.0
134,78.0
135,76.0
136,77.0
137,79.0
138,137.0
139,149.0
140,92.0
141,189.0
142,117.0
143,68.0
144,113.0
145,56.0
146,146.0
147,61.0
148,220.0
149,205.0
150,45.0
151,57.0
152,147.0
153,260.0
154,84.0
155,108.0
156,93.0
157,206.0
158,197.0
159,182.0
160,27.0
161,34.0
162,161.0
163,144.0
164,133.0
165,115.0
166,71.0
167,57.0
168,122.0
169,88.0
170,106.0
171,116.0
172,25.0
173,30.0
174,62.0
175,90.0
176,123.0
177,151.0
178,45.0
179,119.0
180,129.0
181,165.0
182,133.0
183,132.0
184,101.0
185,224.0
186,163.0
187,109.0
188,33.0
189,69.0
190,97.0
191,139.0
192,131.0
193,146.0
194,67.0
195,134.0
196,143.0
197,26.0
198,24.0
199,79.0
200,278.0
201,290.0
202,321.0
203,230.0
204,240.0
205,38.0
206,101.0
207,340.0
208,349.0
209,355.0
210,173.0
211,100.0
212,219.0
213,191.0
214,134.0
215,103.0
216,77.0
217,87.0
218,49.0
219,120.0
220,201.0
221,269.0
222,274.0
223,59.0
224,116.0
225,182.0
226,65.0
227,40.0
228,74.0
229,151.0
230,342.0
231,367.0
232,341.0
233,161.0
234,223.0
235,275.0
236,321.0
237,283.0
238,94.0
239,262.0
240,230.0
241,100.0
242,181.0
243,69.0
244,91.0
245,109.0
246,262.0
247,230.0
248,118.0
249,159.0
250,20.0
251,17.0
252,81.0
253,117.0
254,190.0
255,322.0
256,310.0
257,288.0
258,29.0
259,73.0
260,11.0
261,79.0
262,121.0
263,103.0
264,134.0
265,173.0
266,175.0
267,160.0
268,125.0
269,217.0
270,413.0
271,420.0
